symbol,company_name,sector,current_price,num_analysts,long_term_score,value_score_v2,forward_pe,peg_ratio,sentiment_score,article_count,positive_pct,past_30d_return,sentiment_quintile
AMAT,"Applied Materials, Inc.",Technology,328.3871,22,43.0,0.0,27.34,1.13,79.0,20.0,85.0,13.365222284749578,Q4
PODD,Insulet Corporation,Healthcare,258.51,22,40.0,27.0,32.65,1.2,79.0,20.0,80.0,-9.770378469895238,Q4
NXT,Nextpower Inc.,Technology,116.5192,22,56.0,39.0,24.73,3.03,77.0,20.0,90.0,30.680803571428584,Q3
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,86.93,21,35.0,42.0,9.62,1.42,61.0,20.0,60.0,-6.470588235294122,Q1 (Low)
WING,Wingstop Inc.,Consumer Cyclical,270.48,21,41.0,25.0,45.0,1.62,69.0,20.0,70.0,3.422581646109684,Q2
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,473.0788,21,51.0,9.0,20.56,1.3,82.0,20.0,95.0,5.355347593582879,Q5 (High)
V,Visa Inc.,Financial Services,332.75,21,23.0,8.0,22.91,1.74,80.0,20.0,90.0,-5.593555681175811,Q4
TWLO,Twilio Inc.,Communication Services,121.895,21,35.0,0.0,19.42,1.28,72.0,20.0,80.0,-12.125660598943048,Q2
RMD,ResMed Inc.,Healthcare,251.84,21,44.0,36.0,20.56,1.88,72.0,20.0,80.0,2.645092924682092,Q2
PKX,POSCO Holdings Inc.,Basic Materials,60.48,21,50.0,30.0,0.01,0.0,76.0,16.0,81.2,14.001132930513593,Q3
PFE,Pfizer Inc.,Healthcare,26.5399,21,50.0,30.0,9.32,,69.0,20.0,70.0,5.4231227651966565,Q2
GTLB,GitLab Inc.,Technology,36.2659,21,55.0,9.0,34.83,2.09,77.0,20.0,90.0,-6.74486803519062,Q3
ETN,Eaton Corporation plc,Industrials,356.565,21,38.0,13.0,23.23,1.69,77.0,20.0,85.0,9.048594302736928,Q3
DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,406.0,21,26.0,23.0,19.07,2.15,75.0,20.0,80.0,-0.2697841726618738,Q3
DG,Dollar General Corporation,Consumer Defensive,143.13,21,51.0,17.0,19.98,1.99,76.0,20.0,80.0,3.2390412437918377,Q3
CVS,CVS Health Corporation,Healthcare,75.145,21,41.0,30.0,9.13,0.62,73.0,20.0,80.0,-7.336483461825423,Q2
CTSH,Cognizant Technology Solutions Corporation,Technology,83.3297,21,50.0,39.0,13.62,1.54,86.0,20.0,100.0,0.5267671199314061,Q5 (High)
